Image_Name,K_Value,Iteration,Execution_Time
birb,2,0,1.5853
birb,2,1,0.4544
birb,2,2,0.3889
birb,2,3,0.3809
birb,2,4,0.3939
birb,2,5,0.3692
birb,2,6,0.3378
birb,2,7,0.3348
birb,2,8,0.3505
birb,2,9,0.4182
birb,4,0,0.6218
birb,4,1,0.6008
birb,4,2,0.616
birb,4,3,0.6429
birb,4,4,0.6262
birb,4,5,0.6492
birb,4,6,0.643
birb,4,7,0.8126
birb,4,8,0.6764
birb,4,9,0.6698
birb,8,0,0.7723
birb,8,1,0.8289
birb,8,2,0.7984
birb,8,3,0.7356
birb,8,4,0.7828
birb,8,5,0.802
birb,8,6,0.767
birb,8,7,0.7866
birb,8,8,0.7261
birb,8,9,0.7212
birb,16,0,0.6006
birb,16,1,0.6049
birb,16,2,0.5803
birb,16,3,0.5968
birb,16,4,0.594
birb,16,5,0.6146
birb,16,6,0.6222
birb,16,7,0.5712
birb,16,8,0.5478
birb,16,9,0.6262
birb,32,0,0.8294
birb,32,1,0.8062
birb,32,2,0.8024
birb,32,3,0.8047
birb,32,4,0.7867
birb,32,5,0.81
birb,32,6,0.781
birb,32,7,0.8119
birb,32,8,0.7855
birb,32,9,0.7706
birb,64,0,1.4341
birb,64,1,1.3908
birb,64,2,1.3665
birb,64,3,1.3403
birb,64,4,1.4859
birb,64,5,1.3881
birb,64,6,1.3186
birb,64,7,1.3524
birb,64,8,1.4522
birb,64,9,1.5419
cherry,2,0,1.7082
cherry,2,1,1.6648
cherry,2,2,1.7956
cherry,2,3,1.7366
cherry,2,4,1.6641
cherry,2,5,1.7031
cherry,2,6,2.0148
cherry,2,7,1.7525
cherry,2,8,1.9729
cherry,2,9,1.944
cherry,4,0,0.3976
cherry,4,1,0.5196
cherry,4,2,0.3833
cherry,4,3,0.3987
cherry,4,4,0.3635
cherry,4,5,0.4322
cherry,4,6,0.382
cherry,4,7,0.4208
cherry,4,8,0.3902
cherry,4,9,0.397
cherry,8,0,0.5775
cherry,8,1,0.5086
cherry,8,2,0.5115
cherry,8,3,0.4937
cherry,8,4,0.5023
cherry,8,5,0.5587
cherry,8,6,0.464
cherry,8,7,0.4738
cherry,8,8,0.4962
cherry,8,9,0.5279
cherry,16,0,0.73
cherry,16,1,0.722
cherry,16,2,0.7444
cherry,16,3,0.7047
cherry,16,4,0.7667
cherry,16,5,0.749
cherry,16,6,0.7105
cherry,16,7,0.7588
cherry,16,8,0.8256
cherry,16,9,0.7469
cherry,32,0,0.8413
cherry,32,1,0.8322
cherry,32,2,0.8241
cherry,32,3,0.8286
cherry,32,4,0.8829
cherry,32,5,0.8486
cherry,32,6,0.8226
cherry,32,7,0.8443
cherry,32,8,0.8508
cherry,32,9,0.8479
cherry,64,0,1.6944
cherry,64,1,1.6536
cherry,64,2,1.5768
cherry,64,3,1.5208
cherry,64,4,1.6408
cherry,64,5,1.5305
cherry,64,6,1.5494
cherry,64,7,1.6181
cherry,64,8,1.5821
cherry,64,9,1.515
forest,2,0,0.5813
forest,2,1,0.535
forest,2,2,0.486
forest,2,3,0.4876
forest,2,4,0.4782
forest,2,5,0.4798
forest,2,6,0.441
forest,2,7,0.4365
forest,2,8,0.4905
forest,2,9,0.4569
forest,4,0,0.4533
forest,4,1,0.3977
forest,4,2,0.4166
forest,4,3,0.4516
forest,4,4,0.4371
forest,4,5,0.4405
forest,4,6,0.4357
forest,4,7,0.4291
forest,4,8,0.4264
forest,4,9,0.4212
forest,8,0,0.5695
forest,8,1,0.6181
forest,8,2,0.6157
forest,8,3,0.6409
forest,8,4,0.6143
forest,8,5,0.5795
forest,8,6,0.5616
forest,8,7,0.6432
forest,8,8,0.6483
forest,8,9,0.6027
forest,16,0,1.6103
forest,16,1,1.5487
forest,16,2,1.4852
forest,16,3,1.6029
forest,16,4,1.5067
forest,16,5,1.5341
forest,16,6,1.5868
forest,16,7,1.4889
forest,16,8,1.6055
forest,16,9,1.5724
forest,32,0,1.6057
forest,32,1,1.5653
forest,32,2,1.6279
forest,32,3,1.6342
forest,32,4,1.6278
forest,32,5,1.6063
forest,32,6,1.6785
forest,32,7,1.5976
forest,32,8,1.6287
forest,32,9,1.5844
forest,64,0,2.7251
forest,64,1,2.4765
forest,64,2,2.5138
forest,64,3,2.5528
forest,64,4,2.5271
forest,64,5,2.5385
forest,64,6,2.5106
forest,64,7,2.4807
forest,64,8,2.5276
forest,64,9,2.5135
leaf,2,0,1.0301
leaf,2,1,1.0578
leaf,2,2,1.3461
leaf,2,3,1.2573
leaf,2,4,1.2666
leaf,2,5,1.3522
leaf,2,6,1.3665
leaf,2,7,1.2961
leaf,2,8,1.3224
leaf,2,9,1.2878
leaf,4,0,0.5579
leaf,4,1,0.6023
leaf,4,2,0.63
leaf,4,3,0.5661
leaf,4,4,0.568
leaf,4,5,0.5951
leaf,4,6,0.5537
leaf,4,7,0.541
leaf,4,8,0.5518
leaf,4,9,0.4865
leaf,8,0,0.47
leaf,8,1,0.4383
leaf,8,2,0.4427
leaf,8,3,0.4003
leaf,8,4,0.4285
leaf,8,5,0.4727
leaf,8,6,0.4884
leaf,8,7,0.4853
leaf,8,8,0.4013
leaf,8,9,0.4374
leaf,16,0,0.8955
leaf,16,1,0.8691
leaf,16,2,0.8753
leaf,16,3,0.8831
leaf,16,4,0.861
leaf,16,5,0.8099
leaf,16,6,0.8523
leaf,16,7,0.8675
leaf,16,8,0.8473
leaf,16,9,0.8243
