danceability,energy,speechiness,acousticness,instrumentalness,valence
0.676,0.461,0.143,0.0322,1.01e-06,0.715
0.42,0.166,0.0763,0.924,5.56e-06,0.267
0.438,0.359,0.0557,0.21,0.0,0.12
0.266,0.0596,0.0363,0.905,7.07e-05,0.143
0.618,0.443,0.0526,0.469,0.0,0.167
0.688,0.481,0.105,0.289,0.0,0.666
0.407,0.147,0.0355,0.857,2.89e-06,0.0765
0.703,0.444,0.0417,0.559,0.0,0.712
0.625,0.414,0.0369,0.294,0.0,0.669
0.442,0.632,0.0295,0.426,0.00419,0.196
0.627,0.363,0.0291,0.279,0.0,0.301
0.483,0.303,0.0429,0.694,0.0,0.139
0.489,0.314,0.0331,0.749,0.0,0.607
0.691,0.234,0.0285,0.777,0.0,0.209
0.755,0.78,0.0327,0.124,2.83e-05,0.387
0.489,0.561,0.0274,0.2,4.56e-05,0.238
0.706,0.112,0.0391,0.827,4.03e-06,0.414
0.795,0.0841,0.0461,0.742,1.17e-05,0.609
0.625,0.414,0.0369,0.294,0.0,0.669
0.717,0.32,0.0283,0.83,0.0,0.322
0.703,0.444,0.0417,0.559,0.0,0.712
0.678,0.351,0.0266,0.747,0.0,0.569
0.407,0.147,0.0355,0.857,2.89e-06,0.0765
0.572,0.454,0.0258,0.477,1.37e-05,0.515
0.796,0.667,0.0392,0.381,0.0,0.754
0.755,0.454,0.0352,0.757,0.0,0.33
0.62,0.309,0.0495,0.788,0.0,0.664
0.633,0.429,0.0381,0.0444,0.0,0.52
0.62,0.309,0.0495,0.788,0.0,0.664
0.62,0.309,0.0495,0.788,0.0,0.664
0.62,0.309,0.0495,0.788,0.0,0.664
0.62,0.309,0.0495,0.788,0.0,0.664
0.593,0.455,0.0388,0.366,0.0,0.564
0.296,0.206,0.0412,0.782,0.000225,0.202
0.296,0.206,0.0412,0.782,0.000225,0.202
0.296,0.206,0.0412,0.782,0.000225,0.202
0.409,0.153,0.0306,0.939,2.56e-05,0.18
0.501,0.0952,0.054,0.963,1.58e-05,0.316
0.606,0.326,0.0294,0.841,0.0,0.414
0.409,0.153,0.0306,0.939,2.56e-05,0.18
0.474,0.519,0.0253,0.281,0.0,0.326
0.568,0.301,0.0373,0.796,3.37e-06,0.142
0.568,0.686,0.033,0.15,1.81e-06,0.725
0.568,0.686,0.033,0.15,1.81e-06,0.725
0.476,0.666,0.0446,0.314,0.0,0.498
0.568,0.686,0.033,0.15,1.81e-06,0.725
0.568,0.686,0.033,0.15,1.81e-06,0.725
0.568,0.686,0.033,0.15,1.81e-06,0.725
0.568,0.686,0.033,0.15,1.81e-06,0.725
0.568,0.686,0.033,0.15,1.81e-06,0.725
0.596,0.2,0.0305,0.91,0.000183,0.308
0.373,0.914,0.0565,0.076,0.0,0.56
0.494,0.652,0.0314,0.0754,0.00256,0.298
0.447,0.393,0.038,0.785,0.0,0.564
0.576,0.331,0.0306,0.894,3.44e-05,0.407
0.536,0.89,0.0375,0.078,0.0202,0.273
0.526,0.333,0.0314,0.91,0.168,0.159
0.501,0.381,0.036,0.687,0.00133,0.502
0.27,0.275,0.0356,0.834,0.0,0.231
0.731,0.507,0.046,0.572,0.0,0.265
0.375,0.457,0.0315,0.868,0.0145,0.415
0.43,0.791,0.0302,0.0726,0.0193,0.217
0.616,0.282,0.0331,0.983,0.833,0.435
0.705,0.347,0.0301,0.674,0.0,0.36
0.582,0.255,0.0306,0.772,0.0,0.285
0.549,0.274,0.0379,0.798,6.63e-06,0.207
0.787,0.355,0.0288,0.896,0.0201,0.48
0.397,0.303,0.0435,0.381,0.0,0.172
0.548,0.42,0.0277,0.198,4.46e-06,0.196
0.787,0.403,0.033,0.603,0.00857,0.264
0.484,0.573,0.0298,0.0882,1.14e-06,0.346
0.382,0.416,0.0302,0.0733,0.0,0.125
0.541,0.575,0.0491,0.677,0.215,0.428
0.607,0.473,0.034,0.712,0.0,0.54
0.417,0.595,0.0396,0.158,0.000269,0.117
0.572,0.454,0.0258,0.477,1.37e-05,0.515
0.709,0.913,0.0748,0.0182,0.0,0.519
0.537,0.342,0.0273,0.645,0.266,0.253
0.602,0.336,0.0369,0.883,0.0017,0.335
0.643,0.638,0.0407,0.204,0.0,0.6
0.451,0.7,0.0431,0.455,0.00233,0.37
0.546,0.391,0.063,0.784,2.72e-06,0.202
0.561,0.327,0.0327,0.902,0.000469,0.298
0.479,0.541,0.0543,0.74,0.0,0.3
0.479,0.541,0.0543,0.74,0.0,0.3
0.436,0.4,0.0272,0.904,0.00105,0.351
0.551,0.836,0.0524,0.00502,2.1e-05,0.758
0.409,0.153,0.0306,0.939,2.56e-05,0.18
0.409,0.153,0.0306,0.939,2.56e-05,0.18
0.6,0.845,0.0311,0.048,0.0,0.392
0.492,0.145,0.0422,0.872,9.68e-06,0.218
0.492,0.145,0.0422,0.872,9.68e-06,0.218
0.447,0.555,0.0349,0.218,3.46e-06,0.33
0.492,0.145,0.0422,0.872,9.68e-06,0.218
0.492,0.145,0.0422,0.872,9.68e-06,0.218
0.492,0.145,0.0422,0.872,9.68e-06,0.218
0.492,0.145,0.0422,0.872,9.68e-06,0.218
0.492,0.145,0.0422,0.872,9.68e-06,0.218
0.661,0.937,0.0979,0.322,1.04e-06,0.805
0.603,0.78,0.0438,0.139,0.0,0.693
0.626,0.655,0.0263,0.503,0.0,0.542
0.794,0.38,0.0477,0.762,0.0,0.617
0.52,0.279,0.0547,0.894,0.000105,0.0951
0.545,0.658,0.0474,0.496,0.0,0.683
0.728,0.266,0.0293,0.872,1.03e-05,0.307
0.66,0.407,0.0571,0.236,0.0,0.257
0.357,0.161,0.0388,0.971,1.4e-05,0.325
0.479,0.154,0.0352,0.915,0.0,0.36
