Lon,Lat
-73.9706,40.7586
-73.9994,40.7605
-73.9999,40.732
-73.9793,40.7635
-74.0047,40.7204
-73.9869,40.7487
-73.9961,40.7444
-73.9492,40.7132
-73.973,40.759
-73.9823,40.7601
-73.9992,40.7203
-73.9721,40.7575
-73.9872,40.7471
-73.9565,40.7808
-73.9786,40.7624
-73.9095,40.815
-73.9813,40.7498
-73.9797,40.7623
-73.9904,40.7274
-73.957,40.8048
-74.0088,40.7861
-73.9928,40.7203
-73.9918,40.7679
-73.9988,40.7608
-73.9928,40.7134
-73.9837,40.7758
-73.9874,40.7489
-73.9785,40.7484
-73.9825,40.7676
-73.9826,40.7791
-73.9795,40.7867
-74.003,40.7356
-73.9782,40.7664
-73.9899,40.7758
-73.9632,40.7742
-73.9665,40.7731
-73.9796,40.7745
-73.9882,40.7402
-73.9918,40.7443
-73.999,40.7607
-73.9822,40.7186
-74.0095,40.7239
-74.0096,40.7342
-73.9926,40.7567
-74.0095,40.7141
-73.9829,40.7228
-73.9828,40.6939
-73.9023,40.7415
-73.9912,40.7665
-73.9745,40.7933
-74.0068,40.7049
-74.0063,40.7438
-73.9773,40.7386
-73.8658,40.7708
-74.0108,40.724
-73.975,40.7328
-74.0035,40.7227
-74.0057,40.7309
-73.952,40.7769
-73.9913,40.7562
-73.9957,40.7466
-74.0039,40.7531
-73.9593,40.766
-73.9876,40.6864
-73.9946,40.7287
-74.0028,40.7222
-73.9768,40.7484
-73.9768,40.7484
-73.9959,40.7591
-73.9952,40.7395
-73.9742,40.7434
-73.9794,40.743
-74.0083,40.7259
-73.9833,40.7266
-73.9738,40.7502
-73.9749,40.7531
-73.9486,40.7715
-73.9945,40.7204
-73.9885,40.7777
-74.0127,40.7024
-74.0119,40.717
-73.9793,40.7897
-73.9888,40.7369
-73.9553,40.7844
-74.0082,40.6814
-73.9888,40.7438
-73.9894,40.7181
-73.9862,40.7673
-73.9538,40.7853
-73.96,40.7691
-73.9789,40.7367
-73.9765,40.755
-73.959,40.7782
-74.0025,40.7232
-74.0005,40.7347
-73.9861,40.7588
-74.0053,40.7225
-73.9858,40.759
-73.9855,40.7285
-73.9835,40.7462
-73.9935,40.7434
-73.9786,40.7779
-74.0082,40.7378
-73.9915,40.7677
-73.9884,40.7299
-73.9472,40.7715
