Dataset_Name,Dataset_Type,K_Value,Q_Budget,Iteration,Exec_Time_Coreset,Cost_P_C_Baseline,Cost_Q_C_prime,Cost_P_C_prime,Cost_Random,Exec_Time_Random
birb,image,2,64,0,0.1357,43213.3984375,40866.48828125,44093.63,43985.094,0.0343
birb,image,2,64,1,0.1484,43213.3984375,43515.25390625,43817.96,44556.1,0.034
birb,image,2,64,2,0.1562,43213.3984375,43616.8515625,43333.18,44097.87,0.0465
birb,image,2,64,3,0.1404,43213.3984375,41814.984375,44249.71,54640.473,0.0331
birb,image,2,64,4,0.1524,43213.3984375,41927.2265625,43813.914,44815.6,0.0347
birb,image,2,64,5,0.139,43213.3984375,42346.6953125,43731.164,46290.902,0.0365
birb,image,2,64,6,0.1647,43213.3984375,42407.2109375,45062.58,46711.906,0.0699
birb,image,2,64,7,0.188,43213.3984375,39670.12890625,46885.297,44698.934,0.0327
birb,image,2,64,8,0.1795,43213.3984375,41064.8515625,46328.008,43540.492,0.0369
birb,image,2,64,9,0.1709,43213.3984375,42044.0859375,43915.723,44338.527,0.0439
birb,image,2,128,0,0.153,43213.3984375,43522.5625,43688.31,45281.54,0.0377
birb,image,2,128,1,0.158,43213.3984375,43352.078125,43331.93,44520.906,0.0361
birb,image,2,128,2,0.1682,43213.3984375,43188.9765625,43388.91,43495.113,0.0389
birb,image,2,128,3,0.1631,43213.3984375,41528.7890625,43529.6,45686.0,0.0373
birb,image,2,128,4,0.1427,43213.3984375,43190.6796875,44085.64,46477.457,0.0397
birb,image,2,128,5,0.1587,43213.3984375,44124.76171875,43619.797,43455.6,0.0324
birb,image,2,128,6,0.1408,43213.3984375,42173.83984375,43605.32,43878.664,0.0367
birb,image,2,128,7,0.1434,43213.3984375,42667.0703125,43273.75,45069.934,0.0329
birb,image,2,128,8,0.1406,43213.3984375,41752.734375,43884.02,43791.92,0.0346
birb,image,2,128,9,0.2301,43213.3984375,43486.7734375,44263.06,44394.867,0.0338
birb,image,2,256,0,0.184,43213.3984375,42059.49609375,44793.55,44548.492,0.0403
birb,image,2,256,1,0.1663,43213.3984375,43821.6640625,43277.168,43292.055,0.0366
birb,image,2,256,2,0.1801,43213.3984375,44273.4765625,43261.535,43262.133,0.037
birb,image,2,256,3,0.209,43213.3984375,43768.08203125,43237.03,44771.438,0.0393
birb,image,2,256,4,0.2082,43213.3984375,41800.4375,43599.31,43346.5,0.0347
birb,image,2,256,5,0.1909,43213.3984375,43671.08984375,43351.992,43336.66,0.0352
birb,image,2,256,6,0.1806,43213.3984375,42626.91015625,43890.633,43630.9,0.0362
birb,image,2,256,7,0.1548,43213.3984375,43836.73046875,43395.805,45159.043,0.034
birb,image,2,256,8,0.1655,43213.3984375,42323.5859375,43951.617,43620.582,0.0363
birb,image,2,256,9,0.1748,43213.3984375,43090.92578125,43772.383,43954.062,0.0342
birb,image,2,512,0,0.1638,43213.3984375,44083.69921875,43346.844,43627.984,0.0411
birb,image,2,512,1,0.1738,43213.3984375,43408.70703125,43527.74,43457.586,0.0344
birb,image,2,512,2,0.1434,43213.3984375,42933.48046875,43258.53,43324.64,0.0464
birb,image,2,512,3,0.1782,43213.3984375,42856.48046875,43254.14,43399.47,0.0344
birb,image,2,512,4,0.1618,43213.3984375,42941.23828125,43424.977,43270.76,0.0371
birb,image,2,512,5,0.1467,43213.3984375,43292.95703125,43263.234,43538.223,0.0469
birb,image,2,512,6,0.1562,43213.3984375,42857.09765625,43312.58,43368.273,0.0369
birb,image,2,512,7,0.1499,43213.3984375,43565.0703125,43268.562,43438.746,0.0576
birb,image,2,512,8,0.1879,43213.3984375,42322.21875,43485.742,43805.72,0.0386
birb,image,2,512,9,0.1414,43213.3984375,43010.2109375,43471.906,44015.375,0.0392
birb,image,2,1024,0,0.1507,43213.3984375,43585.1328125,43344.652,43271.133,0.0389
birb,image,2,1024,1,0.1921,43213.3984375,42991.56640625,43302.69,43276.12,0.0404
birb,image,2,1024,2,0.1713,43213.3984375,42961.03515625,43250.74,43390.836,0.0422
birb,image,2,1024,3,0.1565,43213.3984375,43142.265625,43394.594,43512.836,0.0467
birb,image,2,1024,4,0.1935,43213.3984375,42132.1640625,43864.383,43919.562,0.0409
birb,image,2,1024,5,0.1407,43213.3984375,42766.0625,43379.36,43235.438,0.0364
birb,image,2,1024,6,0.1764,43213.3984375,43614.4375,43220.523,43344.21,0.0363
birb,image,2,1024,7,0.1377,43213.3984375,43144.0703125,43295.664,43236.93,0.0374
birb,image,2,1024,8,0.1551,43213.3984375,42778.3671875,43226.68,43396.152,0.0348
birb,image,2,1024,9,0.1857,43213.3984375,42941.13671875,43257.47,43285.953,0.0405
birb,image,2,4096,0,0.1813,43213.3984375,43120.06640625,43220.836,43223.016,0.0501
birb,image,2,4096,1,0.1576,43213.3984375,43121.1171875,43214.406,43215.42,0.0527
birb,image,2,4096,2,0.1698,43213.3984375,43449.9921875,43237.58,43283.28,0.0639
birb,image,2,4096,3,0.1628,43213.3984375,43266.234375,43220.855,43316.566,0.0426
birb,image,2,4096,4,0.1551,43213.3984375,43280.8515625,43249.234,43376.15,0.068
birb,image,2,4096,5,0.2004,43213.3984375,43111.0546875,43221.91,43342.766,0.0526
birb,image,2,4096,6,0.1871,43213.3984375,43291.921875,43215.188,43233.57,0.0421
