Dataset_Name,Dataset_Type,K_Clusters,Q_Budget,Iteration,Cost_Loyd,Time_Loyd,Cost_Biased,Time_Biased,Cost_Uniform,Time_Uniform
birb,image,2,64,0,43213.38,0.2064,44290.22,0.1509,48034.98,0.0387
birb,image,2,64,1,43213.375,0.1897,44280.266,0.1203,43489.57,0.0405
birb,image,2,64,2,43213.375,0.1786,44091.664,0.1073,43959.68,0.0334
birb,image,2,64,3,43213.38,0.1817,43394.125,0.149,43668.06,0.0355
birb,image,2,64,4,43213.38,0.1773,43398.453,0.1583,44132.836,0.0316
birb,image,2,128,0,43213.38,0.1789,44143.984,0.1505,44236.9,0.0345
birb,image,2,128,1,43213.375,0.1801,44701.805,0.1538,43408.19,0.0364
birb,image,2,128,2,43213.38,0.1741,43850.21,0.1489,43671.98,0.035
birb,image,2,128,3,43213.38,0.1827,44302.473,0.156,43877.39,0.067
birb,image,2,128,4,43213.38,0.2025,43412.047,0.1406,43593.555,0.0339
birb,image,2,256,0,43213.38,0.1905,43275.562,0.1558,43503.78,0.0324
birb,image,2,256,1,43213.38,0.2131,43980.418,0.1662,43451.26,0.0412
birb,image,2,256,2,43213.38,0.2048,43312.055,0.1229,43307.69,0.0357
birb,image,2,256,3,43213.38,0.1833,43743.617,0.1489,43294.242,0.0365
birb,image,2,256,4,43213.375,0.1924,43309.32,0.161,43524.812,0.0357
birb,image,2,512,0,43213.38,0.1793,43236.47,0.1517,43643.68,0.035
birb,image,2,512,1,43213.38,0.1775,43635.68,0.1642,43341.305,0.0346
birb,image,2,512,2,43213.38,0.1882,43302.906,0.1527,43444.688,0.0353
birb,image,2,512,3,43213.38,0.1767,43281.766,0.1566,43346.93,0.0357
birb,image,2,512,4,43213.38,0.1747,43509.89,0.1523,43296.28,0.0357
birb,image,2,1024,0,43213.38,0.1731,43247.016,0.1168,43598.457,0.0358
birb,image,2,1024,1,43213.38,0.1792,43225.34,0.1525,43446.336,0.0364
birb,image,2,1024,2,43213.38,0.189,43288.08,0.1546,43359.21,0.0359
birb,image,2,1024,3,43213.38,0.1778,43417.242,0.164,43240.797,0.0367
birb,image,2,1024,4,43213.38,0.1791,43238.89,0.1133,43314.96,0.0371
birb,image,2,4096,0,43213.38,0.1839,43232.164,0.1595,43250.652,0.0488
birb,image,2,4096,1,43213.38,0.19,43218.53,0.1798,43248.543,0.0706
birb,image,2,4096,2,43213.38,0.1873,43217.61,0.1311,43232.035,0.0625
birb,image,2,4096,3,43213.38,0.215,43220.027,0.1832,43223.168,0.0463
birb,image,2,4096,4,43213.375,0.1891,43222.836,0.1688,43217.16,0.059
birb,image,4,64,0,16107.674,0.3239,21461.738,0.1563,17728.008,0.0333
birb,image,4,64,1,16107.675,0.3106,16480.695,0.1267,19546.781,0.0386
birb,image,4,64,2,16107.675,0.311,16856.23,0.1565,19027.32,0.039
birb,image,4,64,3,16107.674,0.3036,17674.629,0.1223,17427.777,0.0477
birb,image,4,64,4,16107.674,0.346,17002.992,0.1278,17657.14,0.0424
birb,image,4,128,0,16107.674,0.3241,19418.96,0.1223,16486.598,0.0327
birb,image,4,128,1,16107.674,0.3261,16369.815,0.165,17917.371,0.0547
birb,image,4,128,2,16107.674,0.3498,16520.738,0.1736,16499.723,0.0446
birb,image,4,128,3,16107.674,0.34,17003.059,0.1338,17403.441,0.0388
birb,image,4,128,4,16107.674,0.3156,16858.506,0.1191,16697.63,0.0366
birb,image,4,256,0,16107.674,0.2944,17545.793,0.1589,16289.813,0.0367
birb,image,4,256,1,16107.674,0.3227,16343.038,0.1455,16662.883,0.0355
birb,image,4,256,2,16107.674,0.3298,16497.953,0.1263,17066.566,0.0501
birb,image,4,256,3,16107.674,0.3321,18458.572,0.1222,18121.22,0.0409
birb,image,4,256,4,16107.674,0.3126,16356.862,0.16,18043.104,0.0354
birb,image,4,512,0,16107.674,0.3279,16233.625,0.1541,16195.605,0.0445
birb,image,4,512,1,16107.674,0.3183,16188.428,0.163,16187.237,0.0398
birb,image,4,512,2,16107.675,0.2969,18002.95,0.1201,16844.006,0.0439
birb,image,4,512,3,16107.674,0.3268,17388.795,0.154,16433.29,0.0404
birb,image,4,512,4,16107.675,0.308,16427.035,0.132,16202.224,0.0396
birb,image,4,1024,0,16107.674,0.3389,17490.87,0.1309,16145.02,0.0371
birb,image,4,1024,1,16107.674,0.3301,16175.234,0.1498,16314.836,0.0398
birb,image,4,1024,2,16107.674,0.3191,16245.616,0.1637,16216.139,0.0381
birb,image,4,1024,3,16107.675,0.3303,16143.706,0.1446,16187.502,0.0359
birb,image,4,1024,4,16107.674,0.3095,16489.33,0.1476,16183.731,0.0369
birb,image,4,4096,0,16107.675,0.334,16131.31,0.1273,16122.569,0.0624
birb,image,4,4096,1,16107.674,0.3544,16119.096,0.1688,16125.796,0.0593
birb,image,4,4096,2,16107.674,0.319,16143.883,0.1446,16124.807,0.0413
birb,image,4,4096,3,16107.674,0.3114,16116.537,0.1295,16110.033,0.0724
birb,image,4,4096,4,16107.674,0.3175,16134.162,0.1177,16121.049,0.0662
birb,image,8,64,0,8191.297,0.4243,9517.469,0.1171,10848.181,0.034
birb,image,8,64,1,8191.297,0.4447,10070.596,0.1174,10097.859,0.036
birb,image,8,64,2,8191.297,0.4427,9961.532,0.1477,10267.459,0.0348
birb,image,8,64,3,8191.297,0.4433,9847.065,0.1465,10287.182,0.035
birb,image,8,64,4,8191.297,0.4302,9306.832,0.122,9660.674,0.0382
birb,image,8,128,0,8191.297,0.5295,9676.449,0.1656,9434.324,0.0402
birb,image,8,128,1,8191.297,0.4555,9379.955,0.1243,8765.691,0.0329
birb,image,8,128,2,8191.297,0.4615,9095.93,0.1343,9700.603,0.0335
birb,image,8,128,3,8191.297,0.4516,9527.113,0.1241,9292.009,0.0409
birb,image,8,128,4,8191.297,0.4828,9375.59,0.1271,9933.412,0.0348
birb,image,8,256,0,8191.297,0.4549,9125.768,0.1212,8415.98,0.0379
birb,image,8,256,1,8191.297,0.4594,8442.084,0.1353,8737.719,0.0322
birb,image,8,256,2,8191.297,0.4575,8855.215,0.1325,9472.098,0.0366
birb,image,8,256,3,8191.297,0.473,8807.965,0.1335,8687.443,0.0325
birb,image,8,256,4,8191.297,0.4651,9134.383,0.1301,8621.88,0.0365
birb,image,8,512,0,8191.297,0.4413,9628.594,0.1344,8954.453,0.0378
birb,image,8,512,1,8191.297,0.4479,8568.158,0.1199,8503.105,0.0372
birb,image,8,512,2,8191.297,0.4389,8782.965,0.1708,8334.939,0.04
birb,image,8,512,3,8191.297,0.4595,8295.067,0.1219,8450.751,0.038
birb,image,8,512,4,8191.297,0.4711,8852.027,0.1295,9545.865,0.0349
