Dataset,Clusters,Budget,Iteration,Cost,Time
birb,2,64,0,43752.465,0.3364
birb,2,64,1,43603.812,0.319
birb,2,64,2,45105.21,0.333
birb,2,64,3,44769.395,0.3101
birb,2,64,4,43426.574,0.3273
birb,2,128,0,43502.047,0.2614
birb,2,128,1,43628.695,0.2012
birb,2,128,2,43720.957,0.313
birb,2,128,3,43801.508,0.354
birb,2,128,4,44454.844,0.2118
birb,2,256,0,43428.1,0.1835
birb,2,256,1,43355.508,0.1419
birb,2,256,2,43418.32,0.1242
birb,2,256,3,43665.11,0.1361
birb,2,256,4,43274.195,0.1444
birb,2,512,0,43258.426,0.1994
birb,2,512,1,43250.36,0.2017
birb,2,512,2,43450.92,0.1452
birb,2,512,3,43354.625,0.2296
birb,2,512,4,43450.312,0.2833
birb,2,1024,0,43476.387,0.3023
birb,2,1024,1,43256.227,0.2361
birb,2,1024,2,43399.9,0.2886
birb,2,1024,3,43276.527,0.325
birb,2,1024,4,43339.0,0.2431
birb,2,4096,0,43293.375,0.4128
birb,2,4096,1,43218.6,0.3688
birb,2,4096,2,43219.61,0.2097
birb,2,4096,3,43259.242,0.2959
birb,2,4096,4,43254.37,0.3188
birb,4,64,0,17760.156,0.2069
birb,4,64,1,16982.334,0.1909
birb,4,64,2,18918.629,0.1919
birb,4,64,3,18790.027,0.2357
birb,4,64,4,16889.268,0.1454
birb,4,128,0,16884.393,0.169
birb,4,128,1,18731.822,0.1373
birb,4,128,2,16289.771,0.2672
birb,4,128,3,16628.18,0.1646
birb,4,128,4,16774.96,0.2804
birb,4,256,0,16314.653,0.2891
birb,4,256,1,16248.731,0.1878
birb,4,256,2,16352.019,0.2139
birb,4,256,3,16221.95,0.1605
birb,4,256,4,17926.246,0.2564
birb,4,512,0,16456.8,0.2403
birb,4,512,1,17855.266,0.1782
birb,4,512,2,16173.158,0.1751
birb,4,512,3,16325.392,0.1874
birb,4,512,4,16254.747,0.2059
birb,4,1024,0,16142.504,0.1455
birb,4,1024,1,16268.172,0.1864
birb,4,1024,2,16173.759,0.3774
birb,4,1024,3,16275.14,0.1861
birb,4,1024,4,16204.248,0.1884
birb,4,4096,0,16111.026,0.1811
birb,4,4096,1,16111.008,0.2926
birb,4,4096,2,16127.632,0.2837
birb,4,4096,3,16118.004,0.2425
birb,4,4096,4,16189.153,0.3328
birb,8,64,0,11255.83,0.1946
birb,8,64,1,9455.055,0.177
birb,8,64,2,10147.188,0.2218
birb,8,64,3,9315.955,0.2026
birb,8,64,4,10195.291,0.3119
birb,8,128,0,8504.323,0.168
birb,8,128,1,9246.725,0.1648
birb,8,128,2,9672.557,0.1937
birb,8,128,3,8858.342,0.2467
birb,8,128,4,9117.115,0.2255
birb,8,256,0,9194.678,0.1555
birb,8,256,1,8795.855,0.2132
birb,8,256,2,9657.967,0.1935
birb,8,256,3,9458.271,0.1737
birb,8,256,4,8992.599,0.1673
birb,8,512,0,8328.855,0.1455
birb,8,512,1,9218.299,0.233
birb,8,512,2,8895.548,0.2116
birb,8,512,3,8812.965,0.1654
birb,8,512,4,8881.943,0.2862
birb,8,1024,0,8295.002,0.2734
birb,8,1024,1,8800.566,0.1966
birb,8,1024,2,8252.964,0.1796
birb,8,1024,3,9032.763,0.3041
birb,8,1024,4,8349.936,0.2767
birb,8,4096,0,8214.432,0.1938
birb,8,4096,1,8277.638,0.2669
birb,8,4096,2,8215.238,0.2555
birb,8,4096,3,8196.655,0.3002
birb,8,4096,4,8712.412,0.2138
birb,16,64,0,4886.674,0.1927
birb,16,64,1,5166.843,0.267
birb,16,64,2,5868.6064,0.1859
birb,16,64,3,5740.882,0.1616
birb,16,64,4,5219.0337,0.1704
birb,16,128,0,5165.6567,0.1687
birb,16,128,1,4901.551,0.2146
birb,16,128,2,4962.6787,0.2294
birb,16,128,3,5134.8916,0.1618
birb,16,128,4,4862.447,0.1753
birb,16,256,0,4855.0205,0.1819
birb,16,256,1,4741.828,0.147
birb,16,256,2,4834.0044,0.1794
birb,16,256,3,4849.835,0.1739
birb,16,256,4,5108.2725,0.1757
birb,16,512,0,4639.508,0.2265
birb,16,512,1,4560.45,0.174
birb,16,512,2,4415.0635,0.1976
birb,16,512,3,4665.334,0.1595
birb,16,512,4,4679.764,0.1765
birb,16,1024,0,4380.8203,0.2456
birb,16,1024,1,4400.538,0.2656
birb,16,1024,2,4542.351,0.254
birb,16,1024,3,4385.9473,0.3204
birb,16,1024,4,4495.816,0.2709
birb,16,4096,0,4464.7637,0.2802
birb,16,4096,1,4326.164,0.2934
birb,16,4096,2,4298.119,0.1819
birb,16,4096,3,4359.9375,0.2218
birb,16,4096,4,4301.5273,0.2103
birb,32,64,0,3218.4253,0.2553
birb,32,64,1,2952.1987,0.2748
birb,32,64,2,3279.98,0.2054
birb,32,64,3,3110.214,0.2446
birb,32,64,4,3114.6692,0.2409
birb,32,128,0,2847.21,0.2569
birb,32,128,1,2733.4277,0.3011
birb,32,128,2,2988.887,0.332
birb,32,128,3,2889.1914,0.2272
birb,32,128,4,2871.0762,0.2209
birb,32,256,0,2726.0088,0.2969
birb,32,256,1,2743.2192,0.2875
birb,32,256,2,2821.0596,0.2154
birb,32,256,3,2604.8728,0.2314
birb,32,256,4,2678.859,0.2512
birb,32,512,0,2575.1748,0.3271
birb,32,512,1,2574.3406,0.2376
birb,32,512,2,2587.0083,0.2564
birb,32,512,3,2521.4302,0.3127
birb,32,512,4,2703.7053,0.3174
birb,32,1024,0,2515.7605,0.2308
birb,32,1024,1,2476.279,0.3049
birb,32,1024,2,2458.8113,0.2936
birb,32,1024,3,2488.894,0.2485
birb,32,1024,4,2427.1057,0.2694
birb,32,4096,0,2399.1318,0.3323
birb,32,4096,1,2399.263,0.346
birb,32,4096,2,2404.2222,0.4178
birb,32,4096,3,2385.9375,0.3337
birb,32,4096,4,2433.0698,0.2515
birb,64,64,0,1714.6945,0.3695
birb,64,64,1,1692.1254,0.3101
birb,64,64,2,1667.5615,0.3421
birb,64,64,3,1679.4126,0.2923
birb,64,64,4,1739.9785,0.3391
birb,64,128,0,1730.1123,0.2447
birb,64,128,1,1675.6544,0.2916
birb,64,128,2,1662.3491,0.2723
birb,64,128,3,1711.131,0.2828
birb,64,128,4,1735.717,0.2726
birb,64,256,0,1599.3733,0.3582
birb,64,256,1,1609.3232,0.3126
birb,64,256,2,1545.9602,0.3226
birb,64,256,3,1579.4987,0.2803
birb,64,256,4,1602.5542,0.2784
birb,64,512,0,1519.4642,0.3147
birb,64,512,1,1521.9517,0.319
birb,64,512,2,1507.3694,0.3263
birb,64,512,3,1510.7921,0.2938
birb,64,512,4,1527.0508,0.2893
birb,64,1024,0,1386.7615,0.2798
birb,64,1024,1,1417.4172,0.3419
birb,64,1024,2,1411.6752,0.3267
birb,64,1024,3,1415.4268,0.3017
birb,64,1024,4,1381.3723,0.3966
birb,64,4096,0,1312.0798,0.3717
birb,64,4096,1,1312.4673,0.392
birb,64,4096,2,1334.2551,0.3695
birb,64,4096,3,1328.0657,0.3376
birb,64,4096,4,1318.5388,0.3395
donuts,2,64,0,100371709.44628984,0.2074
donuts,2,64,1,114322005.86292274,0.2468
donuts,2,64,2,101643101.60327059,0.2343
donuts,2,64,3,100197040.78346483,0.1829
donuts,2,64,4,99838525.4487651,0.1694
donuts,2,128,0,100788205.65245146,0.1471
donuts,2,128,1,100159833.49877842,0.2341
donuts,2,128,2,100062252.70119503,0.2345
donuts,2,128,3,100848493.051931,0.2609
donuts,2,128,4,103213874.40927103,0.258
donuts,2,256,0,99602106.24843596,0.2187
donuts,2,256,1,101881351.82322393,0.2308
donuts,2,256,2,99891302.99770094,0.2335
donuts,2,256,3,99970638.09255293,0.2559
donuts,2,256,4,100700238.52421525,0.2177
donuts,2,512,0,99900439.56919418,0.2561
donuts,2,512,1,100886688.16953379,0.3338
donuts,2,512,2,99653871.70372999,0.2016
donuts,2,512,3,99485426.51516162,0.1781
donuts,2,512,4,99700962.84207384,0.2333
donuts,2,1024,0,99598423.5618681,0.2018
donuts,2,1024,1,99416878.10125482,0.2475
donuts,2,1024,2,99347240.66460752,0.2219
donuts,2,1024,3,99338173.8902654,0.2605
donuts,2,1024,4,99786509.2118625,0.2728
donuts,2,4096,0,99300429.51824208,0.2328
donuts,2,4096,1,99301347.78491578,0.212
donuts,2,4096,2,99290132.01487869,0.2486
donuts,2,4096,3,99305043.79242522,0.2639
donuts,2,4096,4,99309814.53748883,0.2531
donuts,4,64,0,50598842.595628746,0.2642
donuts,4,64,1,44418456.447016895,0.295
donuts,4,64,2,49481093.66378572,0.2483
donuts,4,64,3,46445425.93545342,0.2908
donuts,4,64,4,58460357.69329335,0.2594
donuts,4,128,0,46538536.73034339,0.2569
donuts,4,128,1,46817613.41682918,0.3083
donuts,4,128,2,48995550.74837075,0.2899
donuts,4,128,3,44341149.74366425,0.2878
donuts,4,128,4,44234135.0815185,0.3075
donuts,4,256,0,49297130.67333901,0.2932
donuts,4,256,1,44768124.528998405,0.2622
donuts,4,256,2,44314850.10166584,0.2422
donuts,4,256,3,44911908.75241211,0.2582
donuts,4,256,4,48745894.5289792,0.2557
donuts,4,512,0,44329886.50899916,0.3147
donuts,4,512,1,44335238.71413988,0.3065
donuts,4,512,2,44640665.7362643,0.2598
donuts,4,512,3,44109880.90717146,0.2487
donuts,4,512,4,44641669.66103174,0.2687
donuts,4,1024,0,43963671.11862277,0.2551
donuts,4,1024,1,49088515.427609,0.2699
donuts,4,1024,2,44028614.01800816,0.2542
donuts,4,1024,3,44133213.40826952,0.2975
donuts,4,1024,4,48629206.32306616,0.2878
donuts,4,4096,0,44020154.334095776,0.3251
donuts,4,4096,1,44016230.27741449,0.2771
donuts,4,4096,2,43974347.01799711,0.2851
donuts,4,4096,3,43998391.486715786,0.3222
donuts,4,4096,4,44147768.57240938,0.3269
donuts,8,64,0,17547788.070803516,0.2896
donuts,8,64,1,18970014.02238606,0.249
donuts,8,64,2,17243128.104357693,0.2763
donuts,8,64,3,17101076.713411286,0.2105
donuts,8,64,4,16523315.553476911,0.2181
donuts,8,128,0,16933238.609441493,0.2211
donuts,8,128,1,17411972.74890457,0.2828
donuts,8,128,2,16487625.90036672,0.2403
donuts,8,128,3,16138979.05996064,0.2084
donuts,8,128,4,16229091.63393369,0.2831
donuts,8,256,0,16513210.027415615,0.2144
donuts,8,256,1,16242909.154102217,0.3164
donuts,8,256,2,16307142.46939076,0.264
donuts,8,256,3,16483860.837780219,0.2084
donuts,8,256,4,18645736.181811467,0.2081
donuts,8,512,0,16131913.934510792,0.2135
donuts,8,512,1,16121834.851571254,0.2929
donuts,8,512,2,16106245.873842262,0.3508
donuts,8,512,3,16085205.423760701,0.3278
donuts,8,512,4,16200925.184535787,0.2891
donuts,8,1024,0,16057696.279111447,0.2303
donuts,8,1024,1,15977757.017785903,0.3034
donuts,8,1024,2,16109296.58333239,0.3029
donuts,8,1024,3,16129325.297258187,0.3088
donuts,8,1024,4,16185897.26673622,0.3091
donuts,8,4096,0,15935568.91013536,0.3019
donuts,8,4096,1,15962592.489009004,0.3689
donuts,8,4096,2,15929198.879195422,0.446
donuts,8,4096,3,15929908.551914338,0.3455
donuts,8,4096,4,16165373.613588486,0.308
donuts,16,64,0,10761856.80789052,0.361
donuts,16,64,1,8814767.631882627,0.4095
donuts,16,64,2,8571794.298021618,0.3457
donuts,16,64,3,8444914.466468133,0.3425
donuts,16,64,4,9207464.51716974,0.3749
