Dataset,Clusters,Budget,Iteration,Cost,Time
spotify,2,64,0,13154.7156,0.3381
spotify,2,64,1,13735.7988,0.3342
spotify,2,64,2,13464.1302,0.3232
spotify,2,64,3,14058.7253,0.3295
spotify,2,64,4,13637.7347,0.293
spotify,2,128,0,13142.6068,0.2894
spotify,2,128,1,13494.9229,0.3002
spotify,2,128,2,13257.0692,0.3238
spotify,2,128,3,13632.3666,0.3243
spotify,2,128,4,13256.0222,0.3066
spotify,2,256,0,12964.8376,0.3269
spotify,2,256,1,12980.86,0.3067
spotify,2,256,2,12960.7346,0.3156
spotify,2,256,3,13019.4871,0.3006
spotify,2,256,4,12942.3316,0.3002
spotify,2,512,0,12966.9844,0.333
spotify,2,512,1,13001.7422,0.3102
spotify,2,512,2,12989.0465,0.3064
spotify,2,512,3,12991.5265,0.3123
spotify,2,512,4,12987.578,0.2846
spotify,2,1024,0,12942.2692,0.3801
spotify,2,1024,1,12952.1122,0.34
spotify,2,1024,2,12979.258,0.335
spotify,2,1024,3,12990.8572,0.3513
spotify,2,1024,4,12970.4881,0.3132
spotify,2,4096,0,12924.3451,0.4503
spotify,2,4096,1,12922.762,0.4364
spotify,2,4096,2,12923.4133,0.423
spotify,2,4096,3,12922.8621,0.421
spotify,2,4096,4,12922.9666,0.3947
spotify,4,64,0,8969.269,0.3772
spotify,4,64,1,8850.1244,0.3377
spotify,4,64,2,8566.1778,0.3474
spotify,4,64,3,9194.0036,0.3471
spotify,4,64,4,8804.0201,0.358
spotify,4,128,0,8216.5739,0.3622
spotify,4,128,1,8141.6586,0.3442
spotify,4,128,2,8393.7564,0.3412
spotify,4,128,3,8359.0399,0.3434
spotify,4,128,4,8347.8334,0.3343
spotify,4,256,0,7904.6474,0.3344
spotify,4,256,1,8024.7524,0.3313
spotify,4,256,2,7949.8906,0.3656
spotify,4,256,3,8129.0104,0.3391
spotify,4,256,4,7909.0494,0.3356
spotify,4,512,0,7806.7753,0.3668
spotify,4,512,1,7809.01,0.3564
