Dataset,Clusters,Budget,Iteration,Cost,Time
uber,2,64,0,746.5072359624884,0.4239624999463558
uber,2,64,1,741.0980955018172,0.4125672001391649
uber,2,64,2,759.7590997279067,0.44872420001775026
uber,2,64,3,907.8447353529668,0.4348198000807315
uber,2,64,4,787.070253230921,0.4384051999077201
uber,2,128,0,734.031473817243,0.4376850000116974
uber,2,128,1,738.0354196868986,0.42092399997636676
uber,2,128,2,748.9828616907639,0.43937469995580614
uber,2,128,3,735.6221587988622,0.39851099997758865
uber,2,128,4,735.146426773351,0.43876000004820526
uber,2,256,0,733.2222469523829,0.4277423999737948
uber,2,256,1,733.6734151370772,0.42908850009553134
uber,2,256,2,736.8972581112836,0.4692331999540329
uber,2,256,3,748.0761628666344,0.43089349986985326
uber,2,256,4,740.4478992054587,0.4388862999621779
uber,2,512,0,733.66189003281,0.4213811999652535
uber,2,512,1,732.8686050363101,0.4405552998650819
uber,2,512,2,732.9931020440202,0.4797191000543535
uber,2,512,3,733.4304153847592,0.4519585999660194
uber,2,512,4,740.5641542606454,0.4452799002174288
uber,2,1024,0,734.2529878116898,0.4469846000429243
uber,2,1024,1,733.5367559389575,0.42977560008876026
uber,2,1024,2,733.5097240241007,0.46771749993786216
uber,2,1024,3,733.2951743874447,0.41348100011236966
uber,2,1024,4,732.8274350404521,0.4502059000078589
uber,2,2048,0,732.8444984532014,0.45008590002544224
uber,2,2048,1,732.889479481328,0.44828280014917254
uber,2,2048,2,734.4319991785915,0.48268580017611384
uber,2,2048,3,732.9372749051752,0.44004389992915094
uber,2,2048,4,733.222754746927,0.4778244998306036
uber,2,4096,0,732.7976336490512,0.451022099936381
uber,2,4096,1,732.9268940966742,0.49007379985414445
uber,2,4096,2,732.8393018329378,0.5077965999953449
uber,2,4096,3,732.9752884183104,0.4297307999804616
uber,2,4096,4,732.9257885263789,0.42149929981678724
uber,4,64,0,422.2757489374519,0.45758040016517043
uber,4,64,1,345.3312670429018,0.4645964000374079
uber,4,64,2,501.47565745058057,0.5064735000487417
uber,4,64,3,365.77271091151596,0.4590257001109421
uber,4,64,4,357.88438343242933,0.48552159988321364
uber,4,128,0,349.8897224657967,0.4590777000412345
uber,4,128,1,364.7478873148417,0.45885340007953346
uber,4,128,2,344.6893332610155,0.5037873000837862
uber,4,128,3,347.6592343669237,0.45067729987204075
uber,4,128,4,346.1796636124343,0.45410429988987744
uber,4,256,0,340.0913383472865,0.4497797000221908
uber,4,256,1,337.7347811330524,0.4609203999862075
uber,4,256,2,344.75545652524886,0.5076854000799358
uber,4,256,3,339.06091662923797,0.46799759985879064
uber,4,256,4,344.3226939901293,0.45806819992139935
uber,4,512,0,352.1341187948963,0.49360139993950725
uber,4,512,1,335.5423432776143,0.4492519998457283
uber,4,512,2,350.7808133402695,0.4831387000158429
uber,4,512,3,336.5048923932237,0.40463529992848635
uber,4,512,4,335.89598602039905,0.47693509981036186
uber,4,1024,0,335.3617144930207,0.4771158001385629
