Dataset,Clusters,Budget,Iteration,Cost,Time
spotify,2,64,0,30215.50406870098,0.0027804579985968303
spotify,2,64,1,30256.561500331794,0.0018712090004555648
spotify,2,64,2,29479.66466504561,0.0018345000007684575
spotify,2,64,3,30264.53100016918,0.0017922089991770918
spotify,2,64,4,29335.46992478855,0.0016334169995388947
spotify,2,128,0,29496.50404657925,0.0017932909995579394
spotify,2,128,1,29278.924477896046,0.0017799159995774971
spotify,2,128,2,29950.438931037064,0.001687833000687533
spotify,2,128,3,31289.340876235558,0.0017594159999134718
spotify,2,128,4,29410.324379090882,0.001676624999163323
spotify,2,256,0,31959.474411479485,0.0015952079993439838
spotify,2,256,1,29125.25775678706,0.0017140839991043322
spotify,2,256,2,29364.62019613758,0.0016992500004562316
spotify,2,256,3,29125.915342701555,0.001689458000328159
spotify,2,256,4,29188.211810640845,0.0015130000010685762
spotify,2,512,0,29135.2054874264,0.002308166998773231
spotify,2,512,1,29499.100965784484,0.0025325420010631206
spotify,2,512,2,29176.342673761108,0.002360333999604336
spotify,2,512,3,29094.369175941574,0.0019207079985790187
spotify,2,512,4,29134.321005093258,0.002201749999585445
spotify,2,1024,0,29161.006894545753,0.002561332999903243
spotify,2,1024,1,31788.654585157776,0.002567999999882886
spotify,2,1024,2,29041.37496282166,0.002449334000630188
spotify,2,1024,3,29049.108202265044,0.002360124999540858
spotify,2,1024,4,29031.73641273233,0.0023486669997510035
spotify,2,2048,0,31749.35403896469,0.0028353340003377525
spotify,2,2048,1,29045.388200469235,0.0036453749999054708
spotify,2,2048,2,29047.20822724279,0.004230417000144371
spotify,2,2048,3,29053.88138524801,0.003891000000294298
spotify,2,2048,4,29039.812507238745,0.003783083000598708
spotify,2,4096,0,29035.704650082454,0.006445375000112108
spotify,2,4096,1,29048.92076593434,0.007326500000999658
spotify,2,4096,2,29043.896840425223,0.005822416998853441
spotify,2,4096,3,29033.051821264067,0.005208541999309091
spotify,2,4096,4,29030.21497510071,0.006342332999338396
spotify,4,64,0,19751.21590389507,0.0015979170002538012
spotify,4,64,1,20034.63748616436,0.0016145829995366512
spotify,4,64,2,20263.092205027013,0.001668999999310472
spotify,4,64,3,21787.25694809413,0.0015405000012833625
spotify,4,64,4,18839.407781351416,0.001471375000619446
spotify,4,128,0,19442.27365294355,0.0019327919999341248
spotify,4,128,1,18255.740663487788,0.0016937079999479465
spotify,4,128,2,17966.083708068,0.0018130000007658964
spotify,4,128,3,19749.91677262628,0.0018224999985250179
spotify,4,128,4,19276.810132363393,0.0016069160010374617
spotify,4,256,0,19141.181673669784,0.0015501660000154516
spotify,4,256,1,19110.42642981432,0.0017225000010512304
spotify,4,256,2,19336.22961375758,0.0018149160005123122
spotify,4,256,3,17997.330451945585,0.0017412500001228182
spotify,4,256,4,18287.728157218295,0.0015812919991731178
spotify,4,512,0,19230.48670274963,0.001983541000299738
spotify,4,512,1,19059.50093498488,0.0020065000007889466
spotify,4,512,2,19065.933013751775,0.0017577920007170178
spotify,4,512,3,18987.11592452779,0.0018892080006480683
spotify,4,512,4,19191.58658037789,0.0019884169996657874
spotify,4,1024,0,18890.94831344274,0.0027444999996077968
spotify,4,1024,1,17823.653690302737,0.0021940420010650996
spotify,4,1024,2,19046.90941439093,0.0023547500004497124
spotify,4,1024,3,19002.91582685675,0.0028957079994142987
spotify,4,1024,4,19001.693713875247,0.0032932920003077015
spotify,4,2048,0,17775.969717891974,0.007640042000275571
spotify,4,2048,1,17772.96123180427,0.0035386669987929054
spotify,4,2048,2,17759.473356070255,0.004933958000037819
spotify,4,2048,3,18927.01411487445,0.005018583000492072
spotify,4,2048,4,18885.545655713195,0.005810290998851997
spotify,4,4096,0,18853.55411343054,0.007581916001072386
spotify,4,4096,1,18924.457771493217,0.007400708000204759
spotify,4,4096,2,17743.09842013024,0.008155499999702442
spotify,4,4096,3,18849.88995946988,0.01304349999918486
spotify,4,4096,4,18927.439720054455,0.009497166000073776
spotify,8,64,0,13114.229551903818,0.0022904999987076735
spotify,8,64,1,13446.407765478905,0.0020280830012779916
spotify,8,64,2,13618.214402663572,0.00213508299930254
spotify,8,64,3,12892.479177704252,0.002076041999316658
spotify,8,64,4,12920.183473397321,0.0018061659993691137
spotify,8,128,0,12547.703709386393,0.0019678329990711063
spotify,8,128,1,12717.090146529657,0.001929791000293335
spotify,8,128,2,12196.028578120011,0.002014916999542038
spotify,8,128,3,12071.08204178695,0.002107333000822109
spotify,8,128,4,12520.304586489434,0.0020835830000578426
spotify,8,256,0,11943.7579772473,0.0017216249998455169
spotify,8,256,1,11764.56012402571,0.0018290419993718388
spotify,8,256,2,11827.79273106062,0.001740167001116788
spotify,8,256,3,11735.836490433128,0.0016794999992271187
spotify,8,256,4,11800.204355060563,0.0018750420003925683
spotify,8,512,0,11482.382832547983,0.002290417000040179
spotify,8,512,1,11904.042763981444,0.0022113329996500397
spotify,8,512,2,11653.527726003282,0.002441333999740891
spotify,8,512,3,11551.260683185208,0.00207208299980266
spotify,8,512,4,11634.316493869841,0.0018593329987197649
spotify,8,1024,0,11385.2412355136,0.0031727910009067273
spotify,8,1024,1,11767.327107612713,0.004389458999867202
spotify,8,1024,2,11425.557453964782,0.0049975830006587785
spotify,8,1024,3,11423.690922841522,0.003524957999616163
spotify,8,1024,4,11516.107439064788,0.003861958999550552
spotify,8,2048,0,11207.774374186942,0.005116750000524917
spotify,8,2048,1,11339.40699493981,0.006033333000232233
spotify,8,2048,2,11222.862489665433,0.007260541000505327
spotify,8,2048,3,11319.357055458926,0.00479487499978859
spotify,8,2048,4,11570.669524981327,0.004560708999633789
spotify,8,4096,0,11396.909390875944,0.011706999999660184
spotify,8,4096,1,11292.23334724771,0.013374707999901148
spotify,8,4096,2,11193.568738916207,0.01659704099984083
spotify,8,4096,3,11315.929470599627,0.018409750000500935
spotify,8,4096,4,11367.621213464381,0.009526042000288726
spotify,16,64,0,10175.214980286994,0.001983874999496038
spotify,16,64,1,9842.078971896866,0.0018346249999012798
spotify,16,64,2,10749.20052018972,0.0017875419998745201
spotify,16,64,3,10623.659988634668,0.0018270000000484288
spotify,16,64,4,10103.723381147991,0.0019324580007378245
spotify,16,128,0,9328.312902570162,0.0017964580001716968
spotify,16,128,1,9448.652292092427,0.0019439999996393453
spotify,16,128,2,8993.95601109416,0.001969375000044238
spotify,16,128,3,9346.810337270714,0.0019796249998762505
spotify,16,128,4,9106.684299035609,0.0022202500003913883
spotify,16,256,0,8837.133032653297,0.0019775410000875127
spotify,16,256,1,8745.637980791997,0.002097124999636435
spotify,16,256,2,8528.544011893962,0.002011958000366576
spotify,16,256,3,9132.644198669419,0.0020552909991238266
spotify,16,256,4,8636.662039528323,0.002013249999436084
spotify,16,512,0,8354.444190739905,0.0021744160003436264
spotify,16,512,1,8283.075165091333,0.002393125001617591
spotify,16,512,2,8400.446194341604,0.0022387080007320037
spotify,16,512,3,8954.793044611748,0.0023165420006989734
spotify,16,512,4,8424.317242067142,0.002176292000513058
spotify,16,1024,0,8118.756593215143,0.0036626250002882443
spotify,16,1024,1,8198.78850989945,0.003844417000436806
spotify,16,1024,2,8203.359812427025,0.0029787080002279254
spotify,16,1024,3,8188.367799694224,0.003198708000127226
spotify,16,1024,4,8484.946487947007,0.003777042000365327
spotify,16,2048,0,7913.217485288209,0.013063667000096757
