Dataset,Clusters,Budget,Iteration,Cost,Time
birb,2,64,0,43213.38,0.3619
birb,2,64,1,43213.375,0.3513
birb,2,64,2,43213.375,0.3508
birb,2,64,3,43213.38,0.3657
birb,2,64,4,43213.375,0.3124
birb,2,128,0,43213.38,0.3365
birb,2,128,1,43213.375,0.3644
birb,2,128,2,43213.38,0.3369
birb,2,128,3,43213.375,0.3507
birb,2,128,4,43213.38,0.3102
birb,2,256,0,43213.38,0.2354
birb,2,256,1,43213.38,0.2202
birb,2,256,2,43213.38,0.2046
birb,2,256,3,43213.38,0.2252
birb,2,256,4,43213.38,0.2388
birb,2,512,0,43213.38,0.233
birb,2,512,1,43213.38,0.213
birb,2,512,2,43213.375,0.2144
birb,2,512,3,43213.38,0.3359
birb,2,512,4,43213.38,0.3581
birb,2,1024,0,43213.38,0.3228
birb,2,1024,1,43213.375,0.3731
birb,2,1024,2,43213.38,0.322
birb,2,1024,3,43213.375,0.3623
birb,2,1024,4,43213.38,0.3832
birb,2,4096,0,43213.38,0.3573
birb,2,4096,1,43213.38,0.3794
birb,2,4096,2,43213.38,0.3289
birb,2,4096,3,43213.38,0.3573
birb,2,4096,4,43213.38,0.3881
birb,4,64,0,16107.674,0.5445
birb,4,64,1,16107.674,0.5026
birb,4,64,2,16107.674,0.4665
birb,4,64,3,16107.674,0.4177
birb,4,64,4,16107.674,0.4105
birb,4,128,0,16107.674,0.4384
birb,4,128,1,16107.674,0.3757
birb,4,128,2,16107.675,0.4847
birb,4,128,3,16107.674,0.5046
birb,4,128,4,16107.675,0.5278
birb,4,256,0,16107.674,0.6399
birb,4,256,1,16107.674,0.5633
birb,4,256,2,16107.674,0.4411
birb,4,256,3,16107.674,0.3661
birb,4,256,4,16107.674,0.4915
birb,4,512,0,16107.675,0.592
birb,4,512,1,16107.674,0.5055
birb,4,512,2,16107.675,0.3933
birb,4,512,3,16107.674,0.347
birb,4,512,4,16107.674,0.4032
birb,4,1024,0,16107.674,0.3442
birb,4,1024,1,16107.674,0.4068
birb,4,1024,2,16107.674,0.5934
birb,4,1024,3,16107.675,0.5862
birb,4,1024,4,16107.674,0.4802
birb,4,4096,0,16107.674,0.389
birb,4,4096,1,16107.674,0.6476
birb,4,4096,2,16107.674,0.6169
birb,4,4096,3,16107.675,0.6079
birb,4,4096,4,16107.676,0.5694
birb,8,64,0,8191.297,0.7235
birb,8,64,1,8191.297,0.4811
birb,8,64,2,8191.297,0.4968
birb,8,64,3,8191.297,0.725
birb,8,64,4,8191.297,0.8314
birb,8,128,0,8191.297,0.6851
birb,8,128,1,8191.297,0.5035
birb,8,128,2,8191.297,0.6895
birb,8,128,3,8191.297,0.7706
birb,8,128,4,8191.297,0.7175
birb,8,256,0,8191.297,0.5129
birb,8,256,1,8191.297,0.6748
birb,8,256,2,8191.297,0.8411
birb,8,256,3,8191.297,0.6072
birb,8,256,4,8191.297,0.5326
birb,8,512,0,8191.297,0.4984
birb,8,512,1,8191.297,0.7622
birb,8,512,2,8191.297,0.7096
birb,8,512,3,8191.297,0.6045
birb,8,512,4,8191.297,0.7715
birb,8,1024,0,8191.297,0.745
birb,8,1024,1,8191.297,0.7233
birb,8,1024,2,8191.297,0.5307
birb,8,1024,3,8191.297,0.5774
birb,8,1024,4,8191.297,0.7949
birb,8,4096,0,8191.297,0.5297
birb,8,4096,1,8191.297,0.5485
birb,8,4096,2,8191.297,0.7723
birb,8,4096,3,8191.297,0.7919
birb,8,4096,4,8191.297,0.702
birb,16,64,0,4265.044,0.8517
birb,16,64,1,4265.044,0.9087
birb,16,64,2,4265.044,0.9046
birb,16,64,3,4265.044,0.797
birb,16,64,4,4265.044,0.7789
birb,16,128,0,4265.044,0.8015
birb,16,128,1,4265.044,0.831
birb,16,128,2,4265.044,0.9182
birb,16,128,3,4265.044,0.8049
birb,16,128,4,4265.044,0.8091
birb,16,256,0,4265.044,0.801
birb,16,256,1,4265.044,0.7616
birb,16,256,2,4265.044,0.8057
birb,16,256,3,4265.044,0.8279
birb,16,256,4,4265.044,0.8105
birb,16,512,0,4265.044,0.8945
birb,16,512,1,4265.044,0.9389
birb,16,512,2,4265.044,1.0188
birb,16,512,3,4265.044,0.7963
birb,16,512,4,4265.044,0.8028
birb,16,1024,0,4265.044,0.9113
birb,16,1024,1,4265.044,1.0926
birb,16,1024,2,4265.044,1.1713
birb,16,1024,3,4265.044,0.9656
birb,16,1024,4,4265.044,1.1582
birb,16,4096,0,4265.044,0.979
birb,16,4096,1,4265.044,0.9986
birb,16,4096,2,4265.044,0.9621
birb,16,4096,3,4265.044,0.8792
birb,16,4096,4,4265.044,0.8661
birb,32,64,0,2333.5654,1.9374
birb,32,64,1,2333.5674,1.9319
birb,32,64,2,2333.5674,1.7911
birb,32,64,3,2333.5676,1.7358
birb,32,64,4,2333.5674,1.8974
birb,32,128,0,2333.5674,1.8678
birb,32,128,1,2333.5674,2.1616
birb,32,128,2,2333.5676,1.9473
birb,32,128,3,2333.561,2.0515
birb,32,128,4,2333.5664,2.0198
birb,32,256,0,2333.5674,1.911
birb,32,256,1,2333.5605,2.0564
birb,32,256,2,2333.5654,2.0875
birb,32,256,3,2333.5654,1.8301
birb,32,256,4,2333.5674,1.9287
birb,32,512,0,2333.5657,1.9061
birb,32,512,1,2333.5657,2.2401
birb,32,512,2,2333.567,1.9823
birb,32,512,3,2333.5518,2.0252
birb,32,512,4,2333.5654,2.1069
birb,32,1024,0,2333.5674,1.9486
birb,32,1024,1,2333.567,1.8756
birb,32,1024,2,2333.5674,1.9819
birb,32,1024,3,2333.5667,1.8832
birb,32,1024,4,2333.5654,1.8418
birb,32,4096,0,2333.5627,1.917
birb,32,4096,1,2333.5674,2.1917
birb,32,4096,2,2333.5674,2.2351
birb,32,4096,3,2333.567,2.1595
birb,32,4096,4,2333.5654,1.9906
birb,64,64,0,1258.1454,4.0649
birb,64,64,1,1258.1475,3.9734
birb,64,64,2,1258.1493,4.0299
birb,64,64,3,1258.1454,4.0798
birb,64,64,4,1258.1472,3.9853
birb,64,128,0,1258.1475,3.9619
birb,64,128,1,1258.1482,3.874
birb,64,128,2,1258.1472,3.8628
birb,64,128,3,1258.1495,3.8631
birb,64,128,4,1258.1495,3.988
birb,64,256,0,1258.1472,4.4471
birb,64,256,1,1258.1492,4.4288
birb,64,256,2,1258.1467,4.3579
birb,64,256,3,1258.1493,4.3278
birb,64,256,4,1258.1455,4.3018
birb,64,512,0,1258.1495,4.0022
birb,64,512,1,1258.146,4.3678
birb,64,512,2,1258.1506,4.2825
birb,64,512,3,1258.152,4.1144
birb,64,512,4,1258.1466,4.1123
birb,64,1024,0,1258.1494,4.4118
birb,64,1024,1,1258.1492,4.2277
birb,64,1024,2,1258.1495,4.7037
birb,64,1024,3,1258.1455,4.1255
birb,64,1024,4,1258.1494,4.4334
birb,64,4096,0,1258.1455,4.238
birb,64,4096,1,1258.1459,4.5834
birb,64,4096,2,1258.1492,4.3181
birb,64,4096,3,1258.1455,4.3353
birb,64,4096,4,1258.1458,4.3304
donuts,2,64,0,99270338.16536382,0.358
donuts,2,64,1,99270338.16536382,0.32
donuts,2,64,2,99270338.16536382,0.3429
donuts,2,64,3,99270338.16536382,0.3158
donuts,2,64,4,99270338.16536383,0.2434
donuts,2,128,0,99270338.16536382,0.2463
donuts,2,128,1,99270338.16536382,0.3072
donuts,2,128,2,99270338.16536382,0.362
donuts,2,128,3,99270338.16536382,0.3343
donuts,2,128,4,99270338.16536382,0.3576
donuts,2,256,0,99270338.16536382,0.3513
donuts,2,256,1,99270338.16536383,0.3416
donuts,2,256,2,99270338.16536383,0.3417
donuts,2,256,3,99270338.16536382,0.311
donuts,2,256,4,99270338.16536382,0.3165
donuts,2,512,0,99270338.16536382,0.3181
donuts,2,512,1,99270338.16536382,0.3238
donuts,2,512,2,99270338.16536382,0.3195
donuts,2,512,3,99270338.16536382,0.2511
donuts,2,512,4,99270338.16536382,0.3384
donuts,2,1024,0,99270338.16536382,0.3408
donuts,2,1024,1,99270338.16536382,0.2681
donuts,2,1024,2,99270338.16536382,0.3324
donuts,2,1024,3,99270338.16536382,0.3065
donuts,2,1024,4,99270338.16536382,0.3632
donuts,2,4096,0,99270338.16536382,0.3185
donuts,2,4096,1,99270338.16536382,0.312
donuts,2,4096,2,99270338.16536382,0.3302
donuts,2,4096,3,99270338.16536382,0.3406
donuts,2,4096,4,99270338.16536382,0.3347
donuts,4,64,0,43950548.649084434,0.5429
donuts,4,64,1,43950548.64908443,0.5168
donuts,4,64,2,43950548.64908443,0.5383
donuts,4,64,3,43950548.64908443,0.4949
donuts,4,64,4,43950548.64908443,0.4584
donuts,4,128,0,43950548.649084434,0.476
donuts,4,128,1,43950548.64908443,0.5365
donuts,4,128,2,43950548.649084434,0.512
donuts,4,128,3,43950548.649084434,0.5207
donuts,4,128,4,43950548.64908443,0.5538
donuts,4,256,0,43950548.64908443,0.5106
donuts,4,256,1,43950548.649084434,0.4856
donuts,4,256,2,43950548.649084434,0.4261
donuts,4,256,3,43950548.649084434,0.4017
donuts,4,256,4,43950548.64908443,0.5282
donuts,4,512,0,43950548.649084434,0.4285
donuts,4,512,1,43950548.649084434,0.5066
donuts,4,512,2,43950548.64908443,0.4761
donuts,4,512,3,43950548.649084434,0.4969
donuts,4,512,4,43950548.64908443,0.4662
donuts,4,1024,0,43950548.649084434,0.5118
donuts,4,1024,1,43950548.64908443,0.4606
donuts,4,1024,2,43950548.64908443,0.5125
donuts,4,1024,3,43950548.64908443,0.4725
donuts,4,1024,4,43950548.649084434,0.4985
donuts,4,4096,0,43950548.649084434,0.5379
donuts,4,4096,1,43950548.64908443,0.4692
donuts,4,4096,2,43950548.64908443,0.4845
donuts,4,4096,3,43950548.64908443,0.4861
donuts,4,4096,4,43950548.64908443,0.478
donuts,8,64,0,15906032.250369594,0.5461
donuts,8,64,1,15906032.250369594,0.5183
donuts,8,64,2,15906032.250369594,0.4346
donuts,8,64,3,15906032.250369594,0.4161
donuts,8,64,4,15906032.250369594,0.3981
donuts,8,128,0,15906032.250369594,0.4067
donuts,8,128,1,15906032.250369594,0.4573
donuts,8,128,2,15906032.250369594,0.4699
donuts,8,128,3,15906032.250369594,0.4067
donuts,8,128,4,15906032.250369594,0.4634
donuts,8,256,0,15906032.250369594,0.4189
donuts,8,256,1,15906032.250369594,0.4584
donuts,8,256,2,15906032.250369594,0.5286
donuts,8,256,3,15906032.250369594,0.3867
donuts,8,256,4,15906032.250369594,0.3981
donuts,8,512,0,15906032.250369594,0.3982
donuts,8,512,1,15906032.250369594,0.4505
donuts,8,512,2,15906032.250369594,0.5736
donuts,8,512,3,15906032.250369594,0.5019
donuts,8,512,4,15906032.250369594,0.5376
donuts,8,1024,0,15906032.250369594,0.4535
donuts,8,1024,1,15906032.250369594,0.5104
donuts,8,1024,2,15906032.250369594,0.7334
donuts,8,1024,3,15906032.250369594,0.5305
donuts,8,1024,4,15906032.250369594,0.5608
donuts,8,4096,0,15906032.250369594,0.5667
donuts,8,4096,1,15906032.250369594,0.5501
donuts,8,4096,2,15906032.250369594,0.6193
donuts,8,4096,3,15906032.250369594,0.589
donuts,8,4096,4,15906032.250369594,0.5817
donuts,16,64,0,7016603.885696031,0.8265
donuts,16,64,1,7016603.885696031,0.857
donuts,16,64,2,7016603.885696031,1.2507
donuts,16,64,3,7016603.885696031,0.9006
donuts,16,64,4,7016603.885696031,0.8445
donuts,16,128,0,7016603.885696031,0.9479
donuts,16,128,1,7016603.885696031,0.9313
donuts,16,128,2,7016603.885696031,0.8565
donuts,16,128,3,7016603.885696031,0.8285
donuts,16,128,4,7016603.885696031,0.9374
donuts,16,256,0,7016603.885696031,0.9644
donuts,16,256,1,7016603.885696031,0.8687
donuts,16,256,2,7016603.885696031,0.9248
donuts,16,256,3,7016603.885696031,0.874
donuts,16,256,4,7016603.885696031,0.9476
donuts,16,512,0,7016603.885696031,0.9053
donuts,16,512,1,7016603.885696031,0.8763
donuts,16,512,2,7016603.885696031,0.9291
donuts,16,512,3,7016603.885696031,0.8005
donuts,16,512,4,7016603.885696031,0.7741
donuts,16,1024,0,7016603.885696031,0.7355
donuts,16,1024,1,7016603.885696031,0.9013
donuts,16,1024,2,7016603.885696031,0.9272
donuts,16,1024,3,7016603.885696031,0.8618
donuts,16,1024,4,7016603.885696031,0.8895
donuts,16,4096,0,7016603.885696031,0.8295
donuts,16,4096,1,7016603.885696031,0.805
donuts,16,4096,2,7016603.885696031,0.8574
donuts,16,4096,3,7016603.885696031,0.9232
donuts,16,4096,4,7016603.885696031,0.9867
donuts,32,64,0,3818453.282211441,1.7893
donuts,32,64,1,3818453.282211441,1.7397
donuts,32,64,2,3818453.282211441,1.8013
donuts,32,64,3,3818453.282211441,1.8294
donuts,32,64,4,3818453.282211441,1.7316
donuts,32,128,0,3818453.282211441,1.7366
donuts,32,128,1,3818453.282211441,2.036
donuts,32,128,2,3818453.282211441,1.8832
donuts,32,128,3,3818453.282211441,1.7778
donuts,32,128,4,3818453.282211441,1.8268
donuts,32,256,0,3818453.282211441,2.277
donuts,32,256,1,3818453.282211441,1.8295
donuts,32,256,2,3818453.282211441,1.9114
donuts,32,256,3,3818453.282211441,1.7913
donuts,32,256,4,3818453.282211441,1.8429
donuts,32,512,0,3818453.282211441,1.73
donuts,32,512,1,3818453.282211441,1.9201
donuts,32,512,2,3818453.282211441,1.9309
donuts,32,512,3,3818453.282211441,1.8192
donuts,32,512,4,3818453.282211441,1.7222
donuts,32,1024,0,3818453.282211441,1.785
donuts,32,1024,1,3818453.282211441,1.7332
donuts,32,1024,2,3818453.282211441,1.7175
donuts,32,1024,3,3818453.282211441,1.8167
