Dataset,Clusters,Budget,Iteration,Cost,Time
birb,2,64,0,43537.38192142648,0.7679617000103462
birb,2,64,1,43520.55718527956,0.768741100007901
birb,2,64,2,43335.80780073892,0.7390137999900617
birb,2,64,3,43990.332319990805,0.7591901999840047
birb,2,64,4,43750.98206709695,0.7497452000097837
birb,2,128,0,43331.6749720828,0.8532351999892853
birb,2,128,1,43285.84464994727,0.8439333999995142
birb,2,128,2,43321.51339017252,0.8595715000119526
birb,2,128,3,43325.58035607581,0.826555699983146
birb,2,128,4,43932.02491131394,0.8225917000090703
birb,2,256,0,43247.84640894141,0.9072183000098448
birb,2,256,1,43237.71292769458,0.9654266999859829
birb,2,256,2,43276.95954694537,0.9696698999905492
birb,2,256,3,43307.83712156893,0.952540800004499
birb,2,256,4,43397.509954716974,0.9324072999879718
birb,2,512,0,43220.99546039894,1.0762053999933414
birb,2,512,1,43294.05998575252,1.0586834999849088
birb,2,512,2,43217.316970254455,1.0333250999974553
birb,2,512,3,43221.28290601821,1.0333367999992331
birb,2,512,4,43264.32081960525,1.0475623000238556
birb,2,1024,0,43219.40595151536,1.2232343000068795
birb,2,1024,1,43215.216241395385,1.2104024000000209
birb,2,1024,2,43213.70261253853,1.2657984000106808
birb,2,1024,3,43215.25597323272,1.2470671999908518
birb,2,1024,4,43216.25128460122,1.2447722000069916
birb,2,4096,0,43212.88997160397,3.378947299992433
birb,2,4096,1,43213.15338402474,3.5624156999983825
birb,2,4096,2,43216.39977663712,3.298897399974521
birb,2,4096,3,43212.63333540542,3.4316606000065804
birb,2,4096,4,43213.3830190119,3.315123600012157
birb,4,64,0,20005.02267774786,0.907359400007408
birb,4,64,1,20042.58788676632,0.8893662999907974
birb,4,64,2,17939.313392049626,0.9191134000138844
birb,4,64,3,17008.276747627166,0.9000488000165205
birb,4,64,4,16510.551907232202,0.8986921000177972
birb,4,128,0,16335.302360506306,0.9779876999964472
birb,4,128,1,16293.580862493942,1.014014699991094
birb,4,128,2,16443.521768383787,0.981936099997256
birb,4,128,3,16769.606930246853,0.9916908999730368
birb,4,128,4,17244.842627082715,1.038392999995267
birb,4,256,0,16166.27462623058,1.091200499999104
birb,4,256,1,18166.17924815905,1.0855447000067215
birb,4,256,2,16235.020730903048,1.1140461000031792
birb,4,256,3,16196.4817473397,1.1261561999854166
birb,4,256,4,16635.054802065853,1.1060320000106003
birb,4,512,0,16211.42682208891,1.230631699989317
birb,4,512,1,16129.202106383103,1.2339563999848906
birb,4,512,2,16200.611078623642,1.2051847999973688
birb,4,512,3,16144.665714467848,1.2349021999980323
birb,4,512,4,16141.273494161818,1.2197987000108697
birb,4,1024,0,16192.896120617164,1.3824153000023216
birb,4,1024,1,16111.35277610351,1.424844099994516
birb,4,1024,2,16195.994774219243,1.39259229999152
birb,4,1024,3,16332.470068724611,1.406723599997349
birb,4,1024,4,16206.234807833223,1.3848755999933928
birb,4,4096,0,16129.45283858985,3.4556569000124
birb,4,4096,1,16110.523023562457,3.409748700010823
birb,4,4096,2,16108.131164315022,3.403177500003949
birb,4,4096,3,16136.862442856149,3.403837099991506
birb,4,4096,4,16114.5604638808,3.413278600026388
birb,8,64,0,9450.99934080727,1.2631960000144318
birb,8,64,1,10685.146304563188,1.1631415999727324
birb,8,64,2,10163.581450088415,1.1811241000250448
birb,8,64,3,10339.747126049971,1.0572858999948949
birb,8,64,4,9802.829019916162,1.1341102999867871
birb,8,128,0,9951.417253723768,1.3196842999896037
birb,8,128,1,9174.779034298102,1.2372872999985702
birb,8,128,2,10300.229151794734,1.251531700021587
birb,8,128,3,9871.440194993464,1.1481412000139244
birb,8,128,4,9656.949108189616,1.2145455999998376
birb,8,256,0,8832.937613331713,1.4930171000014525
birb,8,256,1,8976.96488333457,1.3279805999773089
birb,8,256,2,9516.966621593983,1.3203139000106603
birb,8,256,3,8355.528169850373,1.3141078000189736
birb,8,256,4,9007.7097411027,1.4097951999865472
birb,8,512,0,9968.547230122347,1.4911114999849815
birb,8,512,1,9196.122738456428,1.4678711000015028
birb,8,512,2,8524.242590641563,1.5257775000063702
birb,8,512,3,9206.972430916478,1.5654916999919806
birb,8,512,4,8466.974321510836,1.5176831999851856
birb,8,1024,0,8256.24586253435,1.7289000000164378
birb,8,1024,1,9403.09684691433,1.7122052000195254
birb,8,1024,2,8301.05448342585,1.7312725999800025
birb,8,1024,3,9191.44718264818,1.7215205999964382
birb,8,1024,4,8240.092256878734,1.7112486000114586
birb,8,4096,0,8967.453488061718,3.805911000003107
birb,8,4096,1,8710.530942151969,3.811260499991477
birb,8,4096,2,8193.736015768836,3.789878000010504
birb,8,4096,3,8267.578504452553,3.76775520000956
birb,8,4096,4,8835.6565475716,3.900324700021884
birb,16,64,0,6452.652601589607,1.7325926000194158
birb,16,64,1,5952.692461827445,1.80818900000304
birb,16,64,2,6094.015108625105,1.741614600003231
birb,16,64,3,5785.541090123001,1.7390106999955606
birb,16,64,4,5867.317297266526,1.7562491999997292
birb,16,128,0,6001.789069323291,1.802613500010921
birb,16,128,1,5326.718773828708,1.85495120001724
birb,16,128,2,4997.222599134925,1.833778500003973
birb,16,128,3,6137.543904345116,1.837460499984445
birb,16,128,4,5303.925450922523,1.8423815999994984
birb,16,256,0,5078.834424188643,1.9719814999843948
birb,16,256,1,5012.717861623533,1.884198199986713
birb,16,256,2,5438.476337524768,2.198728499992285
birb,16,256,3,4757.981155141531,2.253814600000624
birb,16,256,4,4630.405685489948,2.0509706999873742
birb,16,512,0,4457.577300371889,2.0657924999832176
birb,16,512,1,4458.109046093351,2.127040699997451
birb,16,512,2,4590.805987591504,2.054868399980478
birb,16,512,3,4778.067412802698,2.079502700013109
birb,16,512,4,4648.155447556901,2.1246617999859154
birb,16,1024,0,4628.490906583145,2.2499614999978803
birb,16,1024,1,4453.275206159836,2.251135999977123
birb,16,1024,2,4271.342819127694,2.253208500012988
birb,16,1024,3,4530.138337349847,2.282984299992677
birb,16,1024,4,4724.471268857305,2.2420051000081003
birb,16,4096,0,4430.389488020011,4.340640299982624
birb,16,4096,1,4419.390836107996,4.352272099989932
birb,16,4096,2,4329.001473633828,4.285506300017005
birb,16,4096,3,4289.159307063431,4.707246100006159
birb,16,4096,4,4388.431372212645,4.410205099993618
birb,32,64,0,3965.8628979140926,3.001408999989508
birb,32,64,1,3823.376367926002,2.8502172000007704
birb,32,64,2,3581.4856676723,2.8437509999785107
birb,32,64,3,3806.520155789552,2.7885955999954604
birb,32,64,4,4064.952971525271,2.786486800003331
birb,32,128,0,3410.474012651069,2.87595709998277
birb,32,128,1,3367.7032195278493,2.948009699990507
birb,32,128,2,3587.767773709018,2.9550712000054773
birb,32,128,3,2959.5679728787663,2.920161200017901
birb,32,128,4,3571.86621841168,2.9159365999803413
birb,32,256,0,3088.999038778561,3.0094091999926604
birb,32,256,1,3009.453774058321,3.0338843000063207
birb,32,256,2,2805.181416782617,3.0827720000233967
birb,32,256,3,2745.112651954828,3.155143299984047
birb,32,256,4,2801.1083648732933,3.1191633000271395
birb,32,512,0,2799.655893750276,3.077014499984216
birb,32,512,1,2664.359094279473,3.030484899994917
birb,32,512,2,2751.071542127844,2.9787454000033904
birb,32,512,3,2752.5964064652326,3.1091983999940567
birb,32,512,4,2622.591831724954,3.17604720001691
birb,32,1024,0,2549.8307662376137,3.4512154000112787
birb,32,1024,1,2524.182687232616,3.3429587999999058
birb,32,1024,2,2580.918746817962,3.303267300012521
birb,32,1024,3,2613.075474786005,3.307222900009947
birb,32,1024,4,2570.0688941172907,3.3291014000133146
birb,32,4096,0,2391.30927560996,5.4966318999941
birb,32,4096,1,2383.616121747056,5.479452800005674
birb,32,4096,2,2443.553161813204,5.410322999989148
birb,32,4096,3,2474.2345992318283,5.375873599987244
birb,32,4096,4,2444.1969983034246,5.5176508000004105
birb,64,64,0,3223.58216070742,5.27567679999629
birb,64,64,1,2862.740346020761,5.123258300009184
birb,64,64,2,3240.1052979623223,5.269079299992882
birb,64,64,3,2834.1440676662824,5.047645999991801
birb,64,64,4,3001.2290965013453,5.051625899999635
birb,64,128,0,2035.3451543369115,5.153550199989695
birb,64,128,1,2190.9073351668967,5.071590100007597
birb,64,128,2,2184.443737851412,5.282749200006947
birb,64,128,3,2354.244527258739,5.210654800001066
birb,64,128,4,2134.6208157308115,5.125252099998761
birb,64,256,0,1710.9534860470058,5.183027399994899
birb,64,256,1,1751.0140080749309,5.169550999999046
birb,64,256,2,1828.0309195925013,5.31762349998462
birb,64,256,3,1836.597142440257,5.701299600012135
birb,64,256,4,1697.2912531877428,5.338826499995776
birb,64,512,0,1527.2321845958636,5.309828900004504
birb,64,512,1,1578.542167906692,5.202989899989916
birb,64,512,2,1525.6095655520871,5.338201599981403
birb,64,512,3,1593.9430116249964,5.263062299985904
birb,64,512,4,1562.7091649503195,5.227918599994155
birb,64,1024,0,1461.2242790106616,5.382269499998074
