Dataset,Clusters,Budget,Iteration,Cost,Time
birb,2,64,0,43550.28,0.0801
birb,2,64,1,44255.66,0.0736
birb,2,64,2,43690.04,0.0805
birb,2,64,3,44666.406,0.0809
birb,2,64,4,45283.582,0.0822
birb,2,128,0,43853.25,0.103
birb,2,128,1,43502.668,0.097
birb,2,128,2,44063.93,0.0743
birb,2,128,3,45292.504,0.131
birb,2,128,4,43679.31,0.0812
birb,2,256,0,43418.89,0.0781
birb,2,256,1,43902.008,0.0748
birb,2,256,2,43803.484,0.0789
birb,2,256,3,43526.47,0.1225
birb,2,256,4,43475.6,0.1203
birb,2,512,0,43736.117,0.1183
birb,2,512,1,43510.973,0.0803
birb,2,512,2,43355.938,0.0743
birb,2,512,3,43688.96,0.0965
birb,2,512,4,43400.492,0.1189
birb,2,1024,0,43242.57,0.1138
birb,2,1024,1,43714.527,0.0736
birb,2,1024,2,43882.574,0.0685
birb,2,1024,3,43383.336,0.1255
birb,2,1024,4,43494.6,0.0756
birb,2,2048,0,43243.895,0.0707
birb,2,2048,1,43310.395,0.0998
birb,2,2048,2,43266.496,0.1228
birb,2,2048,3,43246.22,0.122
birb,2,2048,4,43220.703,0.1066
birb,2,4096,0,43277.645,0.1322
birb,2,4096,1,43247.2,0.1373
birb,2,4096,2,43222.656,0.1281
birb,2,4096,3,43213.71,0.1386
birb,2,4096,4,43221.062,0.0832
birb,4,64,0,19298.64,0.0725
birb,4,64,1,18273.79,0.0689
birb,4,64,2,17121.77,0.0781
birb,4,64,3,17842.824,0.0767
birb,4,64,4,17955.973,0.0692
birb,4,128,0,16299.553,0.0714
birb,4,128,1,16470.834,0.0688
birb,4,128,2,16896.25,0.0707
birb,4,128,3,16553.572,0.0933
birb,4,128,4,16781.953,0.0836
birb,4,256,0,16269.665,0.1126
birb,4,256,1,16833.652,0.0716
birb,4,256,2,16263.194,0.0809
birb,4,256,3,16155.481,0.0726
birb,4,256,4,16338.518,0.0732
birb,4,512,0,16233.714,0.1208
birb,4,512,1,16238.374,0.0791
birb,4,512,2,16411.803,0.1168
birb,4,512,3,16258.959,0.0721
birb,4,512,4,17413.473,0.0702
birb,4,1024,0,16202.917,0.073
birb,4,1024,1,16206.208,0.1079
birb,4,1024,2,16304.912,0.0722
birb,4,1024,3,16202.436,0.0854
birb,4,1024,4,16293.992,0.074
birb,4,2048,0,16210.156,0.0882
birb,4,2048,1,16175.111,0.0961
birb,4,2048,2,16148.272,0.1221
