Image_Name,K_Value,Iteration,Execution_Time
windows,2,0,1.7288
windows,2,1,1.404
windows,2,2,1.6384
windows,2,3,1.281
windows,2,4,1.3177
windows,2,5,1.404
windows,2,6,1.5117
windows,2,7,1.6327
windows,2,8,1.6486
windows,2,9,1.6591
windows,4,0,0.7853
windows,4,1,1.0811
windows,4,2,0.6203
windows,4,3,0.8348
windows,4,4,1.1501
windows,4,5,0.8108
windows,4,6,0.8613
windows,4,7,0.7699
windows,4,8,0.6875
windows,4,9,0.711
windows,8,0,0.4264
windows,8,1,0.4404
windows,8,2,0.4569
windows,8,3,0.9028
windows,8,4,0.5287
windows,8,5,1.0065
windows,8,6,0.8388
windows,8,7,1.0973
windows,8,8,1.1482
windows,8,9,1.0855
windows,16,0,0.4098
windows,16,1,0.4959
windows,16,2,0.4912
windows,16,3,0.4725
windows,16,4,0.3975
windows,16,5,0.4955
windows,16,6,0.4752
windows,16,7,0.4999
windows,16,8,0.5325
windows,16,9,0.5852
windows,32,0,0.535
windows,32,1,0.5766
windows,32,2,0.5897
windows,32,3,0.5583
windows,32,4,0.5187
windows,32,5,0.5144
windows,32,6,0.5392
windows,32,7,0.5323
windows,32,8,0.5204
windows,32,9,0.53
windows,64,0,1.3463
windows,64,1,1.3719
windows,64,2,1.3325
windows,64,3,1.1971
windows,64,4,1.2983
windows,64,5,1.2761
windows,64,6,1.2212
windows,64,7,1.2093
windows,64,8,1.284
windows,64,9,1.187
birb,2,0,0.1844
birb,2,1,0.1939
birb,2,2,0.1892
birb,2,3,0.1924
birb,2,4,0.1832
birb,2,5,0.1867
birb,2,6,0.2041
birb,2,7,0.1907
birb,2,8,0.1936
birb,2,9,0.2602
birb,4,0,0.4494
birb,4,1,0.3931
birb,4,2,0.5201
birb,4,3,0.5278
birb,4,4,0.3232
birb,4,5,0.4372
birb,4,6,0.5997
birb,4,7,0.3619
birb,4,8,0.4193
birb,4,9,0.6251
birb,8,0,1.533
birb,8,1,1.6593
birb,8,2,0.7704
birb,8,3,0.4065
birb,8,4,0.3914
birb,8,5,0.7532
birb,8,6,0.4144
birb,8,7,0.3947
birb,8,8,0.3307
birb,8,9,0.4473
birb,16,0,0.4134
birb,16,1,0.6667
birb,16,2,0.5421
birb,16,3,0.6693
birb,16,4,0.7321
birb,16,5,0.4319
birb,16,6,0.373
birb,16,7,0.3405
birb,16,8,0.83
birb,16,9,0.3783
birb,32,0,0.9018
birb,32,1,1.0006
birb,32,2,0.9404
birb,32,3,0.8237
birb,32,4,0.917
birb,32,5,0.8364
birb,32,6,0.9568
birb,32,7,1.0738
birb,32,8,1.018
birb,32,9,1.0295
birb,64,0,1.3557
birb,64,1,1.3189
birb,64,2,1.4782
birb,64,3,1.3616
birb,64,4,1.3027
birb,64,5,1.2886
birb,64,6,1.3363
birb,64,7,1.4182
birb,64,8,1.5478
birb,64,9,1.4116
cherry,2,0,0.3116
cherry,2,1,0.3798
cherry,2,2,0.3443
cherry,2,3,0.3268
