Dataset_Name,Dataset_Type,K_Value,Iteration,Execution_Time
windows,image,2,0,1.6067
windows,image,4,0,0.8951
windows,image,8,0,1.0687
windows,image,16,0,0.4024
windows,image,32,0,0.4015
windows,image,64,0,1.0674
birb,image,2,0,0.1776
birb,image,4,0,0.3384
birb,image,8,0,0.4418
birb,image,16,0,0.2879
birb,image,32,0,0.9649
birb,image,64,0,1.1467
forest,image,2,0,0.2266
forest,image,4,0,0.2265
forest,image,8,0,0.3176
forest,image,16,0,1.8895
forest,image,32,0,1.5475
forest,image,64,0,1.8824
uber,tabular,2,0,0.2981
uber,tabular,4,0,0.5604
uber,tabular,8,0,0.6251
uber,tabular,16,0,1.1127
uber,tabular,32,0,0.5779
uber,tabular,64,0,0.9389
doughnuts,tabular,2,0,0.914
doughnuts,tabular,4,0,0.866
doughnuts,tabular,8,0,0.5637
doughnuts,tabular,16,0,0.652
doughnuts,tabular,32,0,0.9021
doughnuts,tabular,64,0,1.5439
