Dataset_Name,Dataset_Type,K_Value,Iteration,Execution_Time
windows,image,2,0,1.1176
windows,image,2,1,1.2834
windows,image,2,2,1.2389
windows,image,2,3,1.5334
windows,image,2,4,1.5063
windows,image,2,5,1.5585
windows,image,2,6,1.3389
windows,image,2,7,1.2872
windows,image,2,8,1.4552
windows,image,2,9,1.182
windows,image,4,0,0.7666
windows,image,4,1,0.8313
windows,image,4,2,0.9587
windows,image,4,3,0.5472
windows,image,4,4,0.908
windows,image,4,5,0.8583
windows,image,4,6,0.7106
windows,image,4,7,0.5335
windows,image,4,8,0.5294
windows,image,4,9,0.8453
windows,image,8,0,0.6129
windows,image,8,1,0.5709
windows,image,8,2,1.0098
windows,image,8,3,0.6221
windows,image,8,4,0.3676
windows,image,8,5,0.4316
windows,image,8,6,0.4271
windows,image,8,7,0.4767
windows,image,8,8,0.5
windows,image,8,9,0.3724
windows,image,16,0,0.3516
windows,image,16,1,0.4214
windows,image,16,2,0.3707
windows,image,16,3,0.4716
windows,image,16,4,0.4021
windows,image,16,5,0.4412
windows,image,16,6,0.3939
windows,image,16,7,0.3718
windows,image,16,8,0.4095
windows,image,16,9,0.4447
windows,image,32,0,0.4814
windows,image,32,1,0.4112
windows,image,32,2,0.4873
windows,image,32,3,0.4566
windows,image,32,4,0.4628
windows,image,32,5,0.461
windows,image,32,6,0.4483
windows,image,32,7,0.4713
windows,image,32,8,0.4505
windows,image,32,9,0.4585
windows,image,64,0,1.1504
windows,image,64,1,1.1866
windows,image,64,2,1.1598
windows,image,64,3,1.2394
windows,image,64,4,1.194
windows,image,64,5,1.248
windows,image,64,6,1.1613
windows,image,64,7,1.2874
windows,image,64,8,1.3139
windows,image,64,9,1.2805
birb,image,2,0,0.1521
birb,image,2,1,0.1545
birb,image,2,2,0.155
birb,image,2,3,0.1638
birb,image,2,4,0.1469
birb,image,2,5,0.1559
birb,image,2,6,0.1718
birb,image,2,7,0.1421
birb,image,2,8,0.1509
birb,image,2,9,0.1509
birb,image,4,0,0.3336
birb,image,4,1,0.271
birb,image,4,2,0.324
birb,image,4,3,0.2552
birb,image,4,4,0.25
birb,image,4,5,0.2839
birb,image,4,6,0.2634
birb,image,4,7,0.293
birb,image,4,8,0.2581
birb,image,4,9,0.3266
birb,image,8,0,0.3759
birb,image,8,1,0.3602
birb,image,8,2,0.3461
birb,image,8,3,0.4187
birb,image,8,4,0.3474
birb,image,8,5,0.5844
